Textid,ChnText,EngText,Chn_Sentiment,Eng_Sentiment
147,“是的，基督教只重视人，虽然所有物种都被放入了诺亚方舟，但从来没有给其他生命与人类同等的地位，而佛教是普度众生的，所以我来到了东方。但……现在看来哪里都一样。”,"“Yes. The focus of Christianity is Man. Even though all the species were placed into Noah’s Ark, other species were never given the same status as humans. But Buddhism is focused on saving all life. That was why I came to the East. But … it’s obvious now that everywhere is the same.”",-1,-1
148,这就给了智子一个机会，使它可以代替靶标粒子去接受撞击。由于它具有很高的智能，通过量子感应阵列，它们能在极短的时间内精确判断轰击粒子的轨迹，然后移动到适当的位置。,"This gives the sophons an opening. A sophon can take the place of a target particle and accept the collision. Because they’re highly intelligent, they can precisely determine through the quantum sensing formation the paths that the accelerated particles will follow within a very short period of time and move to the appropriate location.",0,0
149,所以，对智子撞击的成功率，是对普通靶标粒子的上亿倍。当智子被撞击后，它就会有意给出错误和混乱的结果。即使偶尔有对预定靶标粒子正确的撞击发生，地球物理学家们也不可能将正确的结果从一大堆错误结果中分辨出来。”," Thus, the likelihood that a sophon will be struck will be billions of times greater than the actual target particle. After a sophon is struck, it can deliberately give out wrong and chaotic results. Thus, even if the actual target particle is occasionally struck, Earth physicists will not be able to tell the correct result from the numerous erroneous results.",1,1
150,几名头戴安全帽工人模样的人出现在两岸。汪淼站起身来，但上校拉住了他，“教授，你不用管，他们会干得很好。”,"Several men wearing hard hats appeared on both shores, looking like maintenance workers. Wang stood up, but the colonel pulled him down. “Professor, don’t worry. They know what to do.” ",0,0
151,他们干得很从容，甚至看上去还有些懒洋洋的，像是在从事一件平淡乏味的工作。汪淼盯着钢柱之间的空间看，那里看上去一无所有，但死亡之琴已经就位。,"The workers proceeded leisurely, as though they were simply carrying out their boring jobs. Wang gazed at the space between the pillars. There seemed to be nothing there, but the deadly zither was already in place.",-1,-1
152,汪淼看着右岸的人利索地抽回连接纳米丝的普通钢丝，把已经绷紧的纳米丝在钢柱上固定好。然后，两岸的人同时拉动几根长钢索，使两根钢柱缓缓竖立起来。为了伪装，两根钢柱上都挂了一些航标和水位标志。,"Wang watched as those on the eastern shore rapidly winched back the steel wires attached to the nanofilaments and secured the tightened nanofilaments to the pillar. Then, slowly, the two pillars were stood upright using their mechanical hinges. As a disguise, the pillars were decorated with some navigational markings and water depth indicators. ",0,0
153,我就这样进入梦乡，三球在梦中一直舞蹈着，无规律的永不重复的舞蹈。,"The three spheres continued to dance in my dream, a patternless, never-repeating dance.",0,0
154,我向往着三体文明能把真正的美带到这个世界上来。”,I yearn for Trisolaran civilization to bring real beauty to this world.”,1,1
155,这可能需要我们向地球异己力量输入一些高于他们现有水平的技术。”,"This may require that we transfer certain technologies far above current human technology level to the alienated forces on Earth.”

“That’s too risky!",0,0
156,夜空变得异常晴朗，群星像一片银色的火焰。,"The night sky became especially clear, and the stars glowed like a field of silver bonfires.",1,1
157,过了好久，她才将悬空的手臂放下来，缓缓起身走上台，坐在父亲的遗体边，握起他的一只已凉下来的手，两眼失神地看着远方。,"After a long time, she finally let her arms down, walked slowly onto the stage, sat next to her father’s body, and held one of his already-cold hands, her eyes staring emptily into the distance.",-1,-1
158,"“首批舰队最后完成起航准备，还需要多长时间？”
","“How long would it take to complete the preparations for the first wave of the fleet?”

",0,0
159,“元首，舰队的建设还处在最后阶段，具备航行能力至少还需要六万时。”,"“Princeps, the fleet is still in the last phase of construction.",0,0
160,噩梦般的记忆像一处处死灰复燃的火种，越烧越旺，灼烧着她的心灵。,"Nightmarish memories, like embers coming back to life, burned more and more fiercely, searing her heart.",-1,-1
161,另外两颗太阳就是飞星，当它们运行到远距离时，看起来像星星。”,"When the other two are far away, they look like flying stars.”",0,0
162,星光下，大地看上去像一大块冰冷的金属。,"Under the starlight, the ground looked like a giant sheet of cold metal.",-1,-1
163,城市午夜的灯光透过这栋巨大玻璃建筑的透明幕墙，将内部的结构隐隐约约显现出来。,The bright lights of the city penetrated the translucent walls of the immense glass building and dimly revealed its internal structure.,0,0
164,目前，我们甚至不知道‘审判日’号计算机中心的确切位置，也不知道被截留的三体信息是否存储于计算机中心的服务器上、有几个备份。,"Right now, we cannot even be certain of the location of the computing center on Judgment Day, and we don’t know whether the intercepted Trisolaran messages are stored in servers located in the computing center, or how many copies they have.",0,0
165,我相信，《三体》已成为你们生活中的一部分。”,I believe that Three Body is already an important part of your lives.”,1,1
166,如果不是我发现得及时，整个人类文明都将毁在你手中！,"If I hadn’t discovered this in time, you could have ruined all human civilization!",-1,-1
167,一个以上的智子，能够通过某些量子效应，构成一个感知宏观世界的系统。,Multiple sophons may be able to form a system to sense the macro world through quantum effects.,0,0
168,但除此以外，这三个三十左右的女人与当年那三名英姿飒爽的红卫兵已没有任何相似之处了，从她们身上消逝的，除了青春，显然还有更多的东西。,"Other than the uniforms, the three women in their thirties no longer resembled the three young Red Guards who had looked so valiant on that day. They had lost not only youth, but also something else.
",-1,-1
169,在他身后，他的学生也微微皱了一下眉头。,"Behind him, one of his students also frowned.",-1,-1
170,每次出去拍摄，他就这样骑着自行车在城市里随意乱转，捕捉着灵感和他需要的构图，有时一转就是一整天。,"Every time he went out to take pictures, he would ride his bike and wander around the city in search of inspiration and compositions that caught his fancy.",0,0
171,“这更不可能了。,“That will never happen.,-1,-1
172,把人类看做虫子的三体人似乎忘记了一个事实：虫子从来就没有被真正战胜过。,The Trisolarans who deemed the humans bugs seemed to have forgotten one fact: The bugs have never been truly defeated.,1,1
173,人类文明，终于在自己的内部孕育出了强大的异化力量。,Human civilization had finally given birth to a strong force of alienation.,1,1
174,元首接着说：“现实是，在四百五十万时后，当三体舰队到达地球所在的行星系时，那个文明的技术水平已在加速发展中远超过我们！,"“The fact is that four million and five hundred thousand hours from now, when the Trisolaran Fleet has reached the Earth, that civilization’s technology level will have long surpassed ours, due to their accelerating development.",-1,-1
175,红岸基地后来引进的外星文明探索之外的项目，都是他努力的结果。”,The research projects that Red Coast took on outside of the search for extraterrestrial intelligence were all due to his efforts.”,1,1
176,‘科学边界’试图开辟一条新的思维途径，简单地说就是试图用科学的方法找出科学的局限性，试图确定科学对自然界的认知在深度和精度上是否存在一条底线——底线之下是科学进入不了的。,"To put it simply, they want to use the methods of science to discover the limits of science, to try to find out if there is a limit to how deeply and precisely science can know nature—a boundary beyond which science cannot go.",0,0
177,设想这个靶子的平面上生活着一种二维智能生物，它们中的科学家在对自己的宇宙进行观察后，发现了一个伟大的定律：“宇宙每隔十厘米，必然会有一个洞。”,"Their scientists, after observing the universe, discover a great law: “There exists a hole in the universe every ten centimeters.”",0,0
178,据传伊文斯说过这样的话：两个质子到达地球之日，就是人类科学死亡之时。,Evans once said that the day of arrival of the two protons was also the day that human science died.,-1,-1
179,“但，如果下次还是失败，你，还有参与智子工程的所有科学家，都有罪了。”,"“But if you fail again, you and all the scientists working on Project Sophon will be guilty.”",-1,-1
180,很快，黑白旗的涟漪演化成汹涌的浪潮，激荡在整块主板上。,"Soon, the ripple of black and white flags coalesced into surging waves that filled the entire motherboard.",1,1
181,六年前，在遥远的半人马座星系，三体世界曾将两个氢原子核加速到接近光速，并向太阳系发射，这两个氢核，也就是质子，在两年前到达了太阳系，然后到达了地球。,"Six years ago, in the distant Trisolaran stellar system, Trisolaris accelerated two hydrogen nuclei to near the speed of light and shot them toward the solar system.",0,0
182,“那就存在着这样一个希望：文明继续发展下去，达到另一个高度，虽然不能得知太阳运行的规律，但能够在乱纪元生存下去，并且能够抵御以前太阳异常运行造成的那些毁灭性的大灾难。”,"“Then there is hope: Even if it’s impossible to know the pattern of the suns’ movements, civilization can continue to develop until it reaches a stage where it can survive the Chaotic Eras by protecting itself against the devastating catastrophes of those eras.”",1,1
183,他看着窗外寒冷的大地，开始回顾自己孤独的一生。,He looked at the frozen ground outside the window and reviewed his lonely life.,-1,-1
184,它悬在那里，永远不会做丝毫的运动，永远不会有丝毫的变化，真是对死亡最到位的诠释。,"It hung there, never moving, never changing, like a perfect interpretation for death.",-1,-1
185,降临派的最终目标就是请主来执行这个神圣的惩罚：毁灭全人类！”,The ultimate goal of the Adventists is to ask our Lord to carry out this divine punishment: the destruction of all humankind.”,-1,-1
186,“如果三体文明最后占有那个世界，我们也可以创造那样的生活。”,"“If Trisolaran civilization ultimately possesses that world, we can also create such lives for ourselves.”

",1,1
187,红卫兵们让他负担的东西确实很重，但不是十字架。,"The Red Guards did indeed have him carry a burden, but it wasn’t a cross.",-1,-1
188,科学执政官微笑着说。,The science consul smiled.,1,1
189,杨卫宁和雷志成的想法很简单：搞清太阳发射的电磁波在监测波段上的频谱规律和特征，用数字滤波滤掉它，就可排除干扰。,"Lei and Yang’s idea for eliminating interference was very simple: ascertain the frequency spectrum and characteristics of solar radiation in the monitored range, and then filter it out digitally.",0,0
190,科学和技术一时成了打开未来之门的唯一钥匙，人们像小学生那样真诚地接近科学，他们的奋斗虽是天真的，但也是脚踏实地的。,"Science and technology were the only keys to opening the door to the future, and people approached science with the faith and sincerity of elementary school students.",1,1
191,我又引入了第三个球体，情况发生了令我震惊的变化。,"I then introduced a third sphere, and to my astonishment, the situation changed completely.",1,1
192,“我早就看出来，她对‘文化大革命’的抵触情绪是根深蒂固的。”,“I’ve always said that I thought she had a deep-rooted resentment of the Cultural Revolution.”,-1,-1
193,谁想到，你竟犯了这么严重的错误！”,You’ve committed such a serious error!”,-1,-1
194,沐浴在春天的气息里，所有人都衷心地赞美太阳、赞美掌管宇宙的诸神。,"Enjoying the springlike climate, everyone gave heartfelt praise to the sun and the gods who guided the world.",1,1
195,巨日迅速上升，很快升到了正空，遮盖了大部分天空。,The giant sun continued to rise and soon filled most of the sky.,0,0
196,上帝要是存在也早死了。”,"Even if God once existed, He died long ago.”",-1,-1
197,竟然有这么多的人对人类文明彻底绝望，憎恨和背叛自己的物种，甚至将消灭包括自己和子孙在内的人类作为最高理想，这是地球三体运动最令人震惊之处。,"The most surprising aspect of the Earth-Trisolaris Movement was that so many people had abandoned all hope in human civilization, hated and were willing to betray their own species, and even cherished as their highest ideal the elimination of the entire human race, including themselves and their children.",-1,-1
198,当这毁灭的晚霞最后消失，云层中只有被大地的地狱之火抹上的一层血红时,After the last light of destruction finally disappeared and the clouds only glowed with a faint red luminescence reflected from the hellish fire on the ground,-1,-1
199,听到“射手”一词，汪淼的心不由紧了一下。,Wang’s heart clenched when he heard “shooter.”,-1,-1
200,在以后的两个三体时中，监听员知道了地球世界的存在，知道了那个只有一个太阳、永远处于恒纪元中的世界，知道了在永远风调雨顺的天堂中诞生的人类文明。,"During the next two Trisolaran hours, the listener learned of the existence of Earth, learned of the world that had only one sun and remained always in a Stable Era, learned of the human civilization that had been born in a paradise where the climate was eternally mild.",1,1
201,几个人把他拖了出去，他口中吐出的血在地上拖了长长的一道。,"Several men came and dragged him away, the blood oozing from his mouth leaving a long trail.",-1,-1
202,那些东西一崩溃，就没有什么能支撑她活下去了。”,"When they collapsed, she had nothing to lean on to keep on living.”",-1,-1
203,秦始皇拄着长剑说：“更换出错部件，组成那个部件的所有兵卒，斩”,"Qin Shi Huang grasped his sword and said, “Replace the malfunctioning component and behead all the soldiers who made up that gate.",-1,-1
204,但他并没有得到自己想要的梦，蓝色的地球确实在梦中出现了，但在一支庞大的星际舰队的炮火下，地球美丽的大陆开始燃烧，蔚蓝的海洋沸腾蒸发……,"The blue Earth did appear in his dream, but under the bombardment of an enormous interstellar fleet, the beautiful continents of Earth were burning, the deep blue oceans were boiling and evaporating.",-1,-1
205,而像我这样儿在基层摸爬滚打了十几年的重案刑警，受到了他们最好的培养和教育。”,"And someone like me, a criminal cop who has been playing cat and mouse with them for more than a decade, has received the best education and training from them.”",1,1
206,其实，叶文洁对人类恶的一面的理性思考，从她看到《寂静的春天》那天就开始了。,Ye’s rational consideration of humanity’s evil side began the day she read Silent Spring.,0,0
207,他们天真地以为，解决物理上的三体问题就能达到这一目标，同时拯救三体和地球两个世界。,"Na?vely, they believed that solving the three-body problem would achieve this goal, saving both Trisolaris and the Earth.",1,1
208,人类之外的另一个文明，对于高级知识阶层无疑具有巨大的吸引力，并使他们极易对其产生种种美好的幻想。,"A civilization outside the human race would doubtlessly greatly attract the highly educated classes, and it was easy for them to develop many beautiful fantasies about such a civilization.",1,1
209,两百轮文明爬行在漆黑的隧道中，现在终于在前方看到了一线光亮。,"Two hundred cycles of civilization had been crawling through a dark tunnel, and there was finally a glimmer of light before them.",1,1
210,人类只要生存下去，这种平等就不可能实现。”,"If humans are to survive, that kind of equality is impossible.”",-1,-1
211,外面的寒夜中，大兴安岭的寒风呼啸着，风中隐隐传来远处齐家屯的鞭炮声。,"In the night outside, the cold wind of the Greater Khingan Mountains screamed, carrying with it the faint sound of firecrackers going off in the village of Qijiatun.",0,0
212,当然，在微观尺度的高维空间，智慧和文明的形态是我们绝对无法想象的，它们完全是另一种东西。,"Of course, in higher dimensional space at such micro scales, the form that intelligence or civilization may take is beyond our imagination.",0,0
213,“三体世界所处的宇宙，比我们想象的更加冷酷。,“Trisolaris’s place in the universe is even more grim than we had imagined.,-1,-1
214,汪淼在夜空中看到群星出现了一小会儿，很快，水汽和烟雾遮住了天空，也遮住了处于红炽状态的大地上的一切，世界陷入一片黑暗的混沌之中。,"For a brief moment, Wang saw the stars, but soon steam and smoke hid the sky and covered everything on the red-glowing earth.",-1,-1
215,我点燃了火，却控制不了它。," I started the fire, but I couldn’t control how it burnt.

",-1,-1
216,不顾妻子异样的目光，他拿着胶卷又回到暗室，死死地关上门。,"Ignoring his wife’s concerned look, he took the film back into the darkroom and shut the door.",-1,-1
217,还是随着她来到这地狱中蒙受永恒的痛苦？,Or had she already been born into this hell to suffer eternally with her?,-1,-1
218,进入红岸基地四年后，叶文洁和杨卫宁组成了家庭。,"
Four years after entering Red Coast Base, Ye and Yang married.",0,0
219,旗手在不断变换，旗帜在不间断地被挥舞着，像一只永恒的钟摆，倒数着她那所剩无几的生命。,"The flag-bearer kept on changing, but the flag waved ceaselessly, like a perpetual pendulum, counting down the remainder of her short life.",-1,-1
220,我们怀着美好的愿望，期待着与宇宙中其他文明社会建立联系，期待着与你们一起，在广阔的宇宙中创造更加美好的生活。,We look forward to working together with you to build a better life in this vast universe.,1,1
221,潘寒站起来，郑重地说：“三体世界是真实存在的。”,"Pan stood up and said solemnly, “The world of Three Body, or Trisolaris, really does exist.”",0,0
222,在过去那漫长的孤寂时光中，监听员不止一次地问过自己：即使有一天真的收到了外星文明的信息，与自己又有什么关系呢？,"During the long loneliness of the past, the listener had asked himself more than once: Even if one day a message from an extra-Trisolaran civilization were to arrive, what would that have to do with me?",-1,-1
223,汪淼不解地看着面前的两位军官。,"Wang looked at the two officers, baffled.",0,0
224,那他们也应该知道，其中的两人与‘科学边界’没有任何来往，包括——杨冬。”,"They should already know that two of the dead never had any contact with the Frontiers of Science, including … Yang Dong.”",0,0
225,飘浮在空中的人体在真空中血液沸腾，吐出内脏，变成了一团团由体液化成的冰晶云围绕着的形状怪异的东西。,"As the bodies drifted, their blood boiled in the vacuum and their inner organs were vomited out, until they turned into strange blobs surrounded by crystalline clouds made from the liquid they exuded.",-1,-1
226,我血压高，根本用不着的。,I have high blood pressure and can’t use it anyway.,0,0
227,他拍的时候用的是目视取景器，没用液晶屏，因为怕看到结果，虽然迟早要看。,"He used the optical finder instead of the LCD because he was afraid to see the results, though he was going to have to face them soon enough.",0,0
228,"很可能，在膨胀的太阳把这颗行星吞没之前，三体文明已经被地球人消灭了。”
","It’s very possible that long before an expanded sun swallows this planet, Trisolaran civilization will have already been extinguished by humans.”",-1,-1
229,“四光年外的一颗带有行星的恒星，那是距三体世界最近的恒星。”,“A star with planets about four light-years away—the closest star to the Trisolaran system.”,0,0
230,“我只想说明以下的事实：在宇宙间，一个技术文明等级的重要标志，是它能够控制和使用的微观维度。,"“I just want to point out this fact: In the universe, an important mark of a civilization’s technological advancement is its ability to control and make use of micro dimensions.",0,0
231,这源自两个假说，都涉及宇宙规律的本质。,"This was a reference to two hypotheses, both involving the fundamental nature of the laws of the universe.",0,0
232,但后来，随着眼界的开阔，人们也清楚了外星文明探索的难度，上级对红岸工程渐渐失去了兴趣。,"“But later, as people gained perspective, they had a better appreciation of the difficulty of the search for extraterrestrial intelligence, and the leadership lost interest in Red Coast.",-1,-1
233,汪淼说：“要这样，拉丝的间距最小就是五十厘米，再小材料就不够了。”,"Wang said, “If that’s the plan, then the smallest distance between the filaments will be fifty centimeters.",0,0
234,史强把手中的烟头扔掉，又从压扁了的烟盒里抽出一根。,Shi threw away the butt and took out another cigarette from a flattened pack.,0,0
235,往常，汪淼一定会迫不及待地把胶卷冲出来，但今天他一点兴致都没有。,"Usually, Wang would rush to develop the film, but today he wasn’t in the mood.",-1,-1
236,这是一个进步！”,This is progress!”,1,1
237,他首先想象她的容貌，然后为她设计衣着，接着设想她所处的环境和她周围的人，最后把她放到这个环境中，让她活动和说话，让她生活。,"He first imagined her face, and then designed her clothes, and then thought of her environment and the people around her, and finally placed her in that environment and had her move about and speak, letting her live.",1,1
238,四个世纪后，灾难后的人类世界可能会退回到中世纪的状态，人性将再次处于极度的压抑之下。”,"Four centuries from now, the post-disaster world might return to the Middle Ages, with humanity once again subjected to extreme repression.”",-1,-1
239,“不论是失败或胜利，我们都看不到。”,“Victory or defeat is not for us to see.”,-1,-1
240,雾很大，灯光在雾中照出一片昏黄，眼前的一切似乎是起飞时情景的重现：空中有巡逻的直升机，在雾中只能隐约看到亮灯的影子；飞机周围很快围上了一圈军车和士兵，他们都面朝外围，几名拿着步话机的军官聚成一堆商量着什么，不时抬头朝舷梯这边看看。,"The fog was thick, and the lights shone a dim yellow as events from their takeoff seemed to be replaying before their eyes: the patrol helicopters in the air, only dimly visible through the fog as shadows with glowing lights; the plane quickly surrounded by a ring of military vehicles and outward-facing soldiers; and several officers with radios clustered in a group discussing something and occasionally throwing a glance in the direction of the airstair.",0,0
241,“呀，你看——”她指着葡萄酒瓶，像孩子般高兴起来。,"“Oh, look,” she exclaimed, pointing at the wine bottle with childlike excitement.",1,1
242,它们以与飞机相同的速度延伸着，尾部则渐淡地消融在夜空中，像四把飞行在云海上的银色利剑。,"They were extending at the same speed as the plane, and their trailing ends faded out and blended into the night like four silver swords flying over the clouds.",0,0
243,其实你很幸运，不管她是不是真的存在，能爱就很幸运了。”,"Whether or not she really exists, you’re fortunate to be in love.”",1,1
244,“首长，我认为现在这种状况很危险。”,"“Commander, in my opinion, the present situation is dangerous.”",-1,-1
245,他走上主席台，站在希恩斯的旁边，转身面向会场，面对着几百双聚集在他身上的目光，投来这目光的那些人代表着地球上二百多个国家的六十亿人。,"He ascended the platform and stood next to Hines, then turned to face the assembly and the hundreds of pairs of eyes focused on him, eyes that represented six billion people from more than two hundred countries on Earth.",0,0
246,突然，她从书上抬起头来，远远地看了他一眼，冲他笑了一下。,"Suddenly, she looked up from the book and over at him, and flashed him a smile.",1,1
247,你他妈的怎么可能找到她？！,How the hell were you able to find her?,-1,-1
248,“我有必要，或者还有机会成为这样的人吗？”,“Will I ever have the need or opportunity to become that sort of person?”,-1,-1
249,这届特别联大也许能解决这个问题，如果不能，发达国家完全有实力不顾发展中国家的反对，强行推进这个计划。,"This UN special session may resolve that problem, and if it can’t, then developed countries are entirely capable of brushing aside the opposition of developing countries and forcing a plan through.",0,0
250,“我有的是胜利的信心。”,“I’ve got confidence in our victory.”,1,1
251,他在客厅里喝，在书房中喝，有时还在小船上喝，但从不过量，只是使自己处于半醉半醒的最佳状态，这时他就拿着前主人留下的那个长柄烟斗吞云吐雾。,"He drank in the living room, he drank in the library, and sometimes he drank on the boat; but never too much, just enough to keep him in that perfect, half-drunk, half-sober state, and then he would take out that long-stemmed pipe left by the previous owner and puff away.",-1,-1
252,“胜利的信念是必须建立的，这种信念，是军队责任和尊严的基础！,"“We must establish faith in victory, a faith that is the foundation of military duty and dignity!",1,1
253,第二天清晨醒来时，他有一种获得新生的感觉，觉得自己像一支尘封多年的蜡烛，昨夜被那团风雪中的小火苗点燃了。,"When he awoke the next morning, he felt reborn, like he was a candle that had been covered in dust for years before being lit by that tiny flame in last night’s snowstorm.",1,1
254,但他很快明白了：他想要的不是壁炉，而是壁炉的火光，那种火光中的女性是最美的。,"But then he understood: What he wanted wasn’t a fireplace, but the glow of the fire, for it is in firelight that a woman is most beautiful.",0,0
255,可是当他走下直升机时，感觉就是走进了自己的梦想：远方的雪山、面前的湖泊、湖边的草原和森林，连位置都和他给伽尔宁画出来的一样。,"But when he got off the helicopter, it was like he had stepped into a dream world: the distant snow peaks, the lake in front of him, the grassy plain and forest beside the lake, all of it laid out exactly as he had sketched it for Garanin.",1,1
256,她的长发在晚风中轻扬，仿佛在极力抓住夕阳的最后一缕金辉。,"Her long hair blew in the light evening breeze, seemingly striving to seize hold of the last golden rays.",0,0
257,他讲述了她在图书馆中的第一次出现，讲述他与她在宿舍里那想象中的壁炉前的相逢，讲她在他课堂上的现身，描述那天晚上壁炉的火光透过那瓶像晚霞的眼睛的葡萄酒在她脸庞上映出的美丽。,"He described how she had come alive for the first time in the library, how she appeared in his classroom during lecture, how the two of them had met in front of the imaginary fireplace in his dormitory, the beauty of the firelight shining onto her face through the bottle of wine like the eyes of twilight.",1,1
258,第二个存在比第一个要矮小瘦弱许多，有一头白发，白发在暮空暗蓝的背景上很醒目，那团在微风中拂动的银色似乎与空中越来越多的星星有某种联系。,"Shorter and frailer, the second being had white hair that stood out against the dark blue background of the sky, bobbing silver in the wind, connected somehow to the increasing number of stars.",0,0
259,寒冷而诡异的黎明中，没有金字塔，也没有联合国大厦和单摆，只有广阔而坚硬的荒原延伸开去，像一大块冰冷的金属。,"Under the strange, chilly dawn was no pyramid, UN building, or pendulum, just a broad and hard expanse of emptiness, like a giant slab of frozen metal.",-1,-1
260,他才木然地站起来，迈着机械的步子向主席台走去。,He stood up stiffly and walked with mechanical steps to the rostrum.,-1,-1
261,当得知三体危机出现时，他就已经对未来失去信心，进入太空军后，这种绝望更多地表露出来。,"When he learned of the Trisolar Crisis, he lost all confidence in the future, and once he joined the space force, this despair only became more pronounced.",-1,-1
262,斐兹罗掩饰不住自己的失望。,Fitzroy couldn’t hide his disappointment.,-1,-1
263,几亿年间，这些站累了的山躺了下来，在阳光和时间中沉于平和，也使得行走在其中的人们感觉自己变得和这山一样懒散。,"Over the course of hundreds of millions of years, the mountains, weary of standing, had lain down, sunken into flatness amid time and sunlight, and turned anyone walking among them just as indolent.",0,0
264,他甚至能清晰地看到她所在的世界，那是一片宁静的雪原，那里的天空永远有银色的星星和弯月，但雪也在不停地下着，雪原像白砂糖般洁白平润，静得仿佛能听到雪花落在上面的声音。,"He even saw clearly the world she inhabited, a still snowscape where the sky was forever graced with silver stars and a crescent moon, the snow falling steadily.",0,0
265,但现在，张援朝从他八层楼的窗子望着外面晴朗天空下的城市，心里却没有一点阳光，更别提第二童年的感觉了。,"Still, as he looked out from his eighth-story window at the clear sky over the city, he felt like there was no sunlight in his heart, much less a second childhood.",-1,-1
266,"他握住她纤细的双手，温暖着这冰凉的柔软，她激动地看着他，说出了他本想问候她的话：
“你还好吗？”","He folded her hands in his to warm the icy softness, and she looked at him with excitement and asked the question he was about to ask her: “Are you okay?”",1,1
267,人生苦短这一现实从来没有像现在这样折磨他们，他们的心已飞越时间之穹，与他们的十几代子孙一起投入到冷酷太空中的血与火里，那是所有军人的灵魂相聚的地方。,"The brevity of a human lifespan tormented them as never before, and their hearts soared above the vault of time to join with their descendants and plunge into blood and fire in the icy cold of space, the eventual meeting place for the souls of all soldiers.",0,0
268,她惊喜地叫起来。,she exclaimed in excitement.,1,1
269,她的微笑变成开心的笑容，像一朵玫瑰绽放开来。,"Delighted, her smile blossomed like a rose in bloom.",1,1
270,"
杨晋文突然激动起来，“要真是有这回事，那国家就是混蛋！","Yang Jinwen suddenly grew excited: “And if it’s really true, then the state’s a pack of morons!",-1,-1
271,接下来，两人沉默着穿行于东方艺术馆的二十四个展厅间，走在遥远的过去中想象着灰暗的未来。,"They passed silently through the twenty-four galleries housing Asian art, walking through the distant past while imagining a gloomy future.",-1,-1
272,控制室再次陷入沉默，这次带着重重的压抑。,"Silence fell over the control room again, heavy and oppressive this time.",-1,-1
273,这期间吴岳常常在指挥舰上盯着那片空海发呆，那一片水面上，只有前方舰艇留下的航迹在交错中不安地躁动着，恰似他的心绪。,"During the sessions, Wu Yue often stared vacantly at an empty patch of sea where the surface of the water, disturbed by crisscrossing trails left by passing ships, undulated uneasily, much like his mood.",-1,-1
274,在心灵的远方，罗辑看到她仍静静地坐在壁炉前，她不会感到寂寞，因为知道自己的世界坐落于何处。,"He could still see her in a far-off region of his soul, sitting silently before the fireplace, never feeling lonely, because she knew her world was within him.",0,0
275,现在，她那娇小的身躯处于身后将倾的绝壁下，显得格外弱小和无助。,Now her small frame seemed tiny and helpless against the sloping cliff wall.,-1,-1
276,不知不觉，他们发现路进山了，这里的山形状平淡无奇，没有深谷悬崖，植被贫瘠，只有灰色岩缝中的枯草和荆条丛。,"Before they knew it, the road had entered the mountains, which were plain and ordinary in shape and devoid of vegetation apart from withered grasses and vitex vines in the crevices of the gray rocks.",0,0
277,这时太阳已经西斜，周围的雪坡处于阴影中，纯净的雪呈现一种淡蓝色，似乎在发着微弱的荧光，而远方如刀锋般陡峭的雪峰仍处于阳光中，把灿烂的银光洒向四方，这光芒完全像雪自己发出的，仿佛照亮这世界的从来就不是太阳，而只是这座雪峰。,"The jagged peaks in the distance were still lit and shone silver in all directions, a light that seemed to issue from the snow itself, as if it was this mountain and not the sun that had been illuminating the world all along.",0,0
278,罗辑感觉自己就像是湖中的那艘落下帆的小船，静静地漂浮着，不知泊在哪里，也不关心将要漂向何方。,"He felt like the boat in the water, floating quietly with its sail furled, ignorant of where it was moored and not caring where it floated.",-1,-1
279,他们看着火箭上升，当它穿过薄云时，半个天空都变成了梦幻里才能见到的那种红色，然后，它消失在佛罗里达的夜空中，它带来的短暂黎明也被漫长的黑夜所吞噬。,"When it passed through the clouds, it turned half the sky the kind of red only found in dreams before it disappeared into the Florida sky, the brief dawn once again swallowed up by the night.",0,0
280,“这人就是个懒惰的废物！”,"“He’s a deadbeat, a waste!”",-1,-1
281,破壁人二号：“我的主，你学会隐瞒了！,"“My Lord, you have learned how to conceal!",0,0
282,第二天早晨，雨后初晴，在罗辑的感觉中，仿佛是上帝为了庄颜的到来把这个伊甸园清洗了一遍。,"The next morning, after the rain had cleared, Luo Ji felt as if God had washed out this Garden of Eden to prepare for Zhuang Yan’s arrival.",1,1
283,第二天一早，罗辑开着他那辆雅阁轿车出了校园，向西驶去，之所以选择这个方向，仅仅是因为省去了穿过整个城市的麻烦，他第一次体会到没有目的地的出行所带来的那种美妙的自由。,"The next morning, he drove his Accord off campus and headed west, a direction he chose purely because it avoided the headaches of having to traverse the entire city.",1,1
284,他发出穿过草丛的阵风那样的空气流动的声音，那是叹息，然后他站了起来。,The being made a sound like a gust of wind blowing across the grass—a sigh—and then stood up.,-1,-1
285,她看着火，像那一夜在壁炉前那样高兴起来，罗辑也再一次被火光中的她迷住了，他被一种从未有过的柔情所淹没，感觉自己和这篝火一样，活着的唯一目的就是给她带来温暖。,"Again he was transfixed by her appearance in the firelight, drowned in emotions he had never felt before, as if he was a bonfire himself and the only purpose of his existence was to give her warmth.",1,1
286,井上宏一的话像雨水一般冰冷。,Koichi Inoue’s words were as icy as the rain.,-1,-1
287,罗辑看不清她的面容，只看到她穿着白色的裤子和深色的外套，一圈洁白的领子与外套的深色形成鲜明对比，使他又想起了百合花。,"Luo Ji couldn’t make out her face, but noticed that she wore white trousers and a dark jacket that stood in stark contrast to her white collar and made him think of lilies.",1,1
